,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
1312,63,Jordy Clasie,24,€10.00m,15/16,Netherlands,€15.00m,Defensive Midfield,Feyenoord,Eredivisie,Southampton,Premier League,False,15.0
1313,64,Casemiro,23,€10.00m,15/16,"Brazil, Spain",€15.00m,Defensive Midfield,Porto,Liga NOS,Real Madrid,LaLiga,False,15.0
1314,65,Yannick Carrasco,21,€9.00m,15/16,"Belgium, Spain",€15.00m,Left Winger,Monaco,Ligue 1,Atlético,LaLiga,False,15.0
1315,66,João Cancelo,21,€5.00m,15/16,Portugal,€15.00m,Right-Back,Benfica,Liga NOS,Valencia,LaLiga,False,15.0
1316,67,Ivan Cavaleiro,21,€3.50m,15/16,"Angola, Portugal",€15.00m,Left Winger,Benfica,Liga NOS,Monaco,Ligue 1,False,15.0
1317,68,Clinton N'Jie,22,€5.00m,15/16,Cameroon,€14.10m,Right Winger,Lyon,Ligue 1,Tottenham,Premier League,False,14.1
1318,69,Petr Cech,33,€12.00m,15/16,Czech Republic,€14.00m,Goalkeeper,Chelsea,Premier League,Arsenal,Premier League,False,14.0
1319,70,Paulinho,26,€9.00m,15/16,Brazil,€14.00m,Central Midfield,Tottenham,Premier League,GZ Evergrande,Super League,False,14.0
1320,71,Luiz Adriano,28,€8.50m,15/16,Brazil,€14.00m,Centre-Forward,Shakhtar D.,Premier Liga,AC Milan,Serie A,False,14.0
1321,72,Adama Traoré,20,€1.25m,15/16,Mali,€14.00m,Attacking Midfield,Lille,Ligue 1,Monaco,Ligue 1,False,14.0
1322,73,Yohan Cabaye,29,€16.00m,15/16,France,€13.90m,Central Midfield,PSG,Ligue 1,Crystal Palace,Premier League,False,13.9
1323,74,Benik Afobe,22,€7.00m,15/16,"DR Congo, England",€13.30m,Centre-Forward,Wolves,Championship,Bournemouth,Premier League,False,13.3
1324,75,Sergi Darder,21,€7.50m,15/16,Spain,€13.10m,Central Midfield,Málaga CF,LaLiga,Lyon,Ligue 1,False,13.1
1325,76,Hernanes,30,€14.00m,15/16,Brazil,€13.00m,Attacking Midfield,Inter,Serie A,Juventus,Serie A,False,13.0
1326,77,Fredy Guarín,29,€10.50m,15/16,Colombia,€13.00m,Central Midfield,Inter,Serie A,SH Shenhua,Super League,False,13.0
1327,78,Demba Ba,30,€10.00m,15/16,"Senegal, France",€13.00m,Centre-Forward,Besiktas,Süper Lig,SH Shenhua,Super League,False,13.0
1328,79,Charles Aránguiz,26,€9.50m,15/16,Chile,€13.00m,Central Midfield,Internacional,Série A,Leverkusen,Bundesliga,False,13.0
1329,80,Mohamed Elneny,23,€4.00m,15/16,Egypt,€12.50m,Defensive Midfield,Basel,Super League,Arsenal,Premier League,False,12.5
1330,81,Andre Gray,24,€1.00m,15/16,"Jamaica, England",€12.40m,Centre-Forward,Brentford,Championship,Burnley,Championship,False,12.4
1331,82,Ramiro Funes Mori,24,€6.00m,15/16,"Argentina, United States",€12.20m,Centre-Back,River Plate,Primera División,Everton,Premier League,False,12.2
1332,83,Stefan Savic,24,€15.00m,15/16,"Montenegro, Serbia",€12.00m,Centre-Back,Fiorentina,Serie A,Atlético,LaLiga,False,12.0
1333,84,Max Kruse,27,€12.00m,15/16,Germany,€12.00m,Second Striker,Mönchengladbach,Bundesliga,Wolfsburg,Bundesliga,False,12.0
1334,85,Chicharito,27,€10.00m,15/16,Mexico,€12.00m,Centre-Forward,Man Utd,Premier League,Leverkusen,Bundesliga,False,12.0
1335,86,Luis Muriel,24,€10.00m,15/16,Colombia,€12.00m,Centre-Forward,Udinese,Serie A,Sampdoria,Serie A,False,12.0
1336,87,Chancel Mbemba,20,€8.00m,15/16,DR Congo,€12.00m,Centre-Back,RSC Anderlecht,JPL,Newcastle,Premier League,False,12.0
1337,88,Jordan Ayew,23,€6.00m,15/16,"Ghana, France",€12.00m,Centre-Forward,FC Lorient,Ligue 1,Aston Villa,Premier League,False,12.0
1338,89,Rony Lopes,19,€4.50m,15/16,"Portugal, Brazil",€12.00m,Right Winger,Man City,Premier League,Monaco,Ligue 1,False,12.0
1339,90,Sergej Milinković-Savić,20,€4.00m,15/16,"Serbia, Spain",€12.00m,Central Midfield,Genk,JPL,Lazio,Serie A,False,12.0
1340,91,Jordan Rhodes,26,€10.00m,15/16,"Scotland, England",€11.90m,Centre-Forward,Blackburn,Championship,Middlesbrough,Championship,False,11.9
1341,92,Wahbi Khazri,24,€7.50m,15/16,"Tunisia, France",€11.80m,Left Winger,G. Bordeaux,Ligue 1,Sunderland,Premier League,False,11.8
1342,93,Allan,24,€11.50m,15/16,"Brazil, Portugal",€11.50m,Defensive Midfield,Udinese,Serie A,Napoli,Serie A,False,11.5
1343,94,Fabian Delph,25,€10.00m,15/16,"England, Guyana",€11.50m,Central Midfield,Aston Villa,Premier League,Man City,Premier League,False,11.5
1344,95,Jeremain Lens,27,€12.00m,15/16,"Netherlands, Suriname",€11.40m,Right Winger,Dynamo Kyiv,Premier Liga,Sunderland,Premier League,False,11.4
1345,96,Tyrone Mings,22,€6.00m,15/16,England,€11.30m,Centre-Back,Ipswich,Championship,Bournemouth,Premier League,False,11.3
1346,97,James Chester,26,€2.00m,15/16,"Wales, England",€11.30m,Centre-Back,Hull City,Championship,West Brom,Premier League,False,11.3
1347,98,Gonzalo Castro,28,€14.00m,15/16,"Germany, Spain",€11.00m,Central Midfield,Leverkusen,Bundesliga,Dortmund,Bundesliga,False,11.0
1348,99,Asmir Begovic,28,€12.00m,15/16,"Bosnia-Herzegovina, Canada",€11.00m,Goalkeeper,Stoke City,Premier League,Chelsea,Premier League,False,11.0
1349,100,Ciro Immobile,25,€10.00m,15/16,Italy,€11.00m,Centre-Forward,Dortmund,Bundesliga,Sevilla FC,LaLiga,False,11.0
1350,101,Angelo Ogbonna,27,€9.00m,15/16,"Italy, Nigeria",€11.00m,Centre-Back,Juventus,Serie A,West Ham,Premier League,False,11.0
1351,102,Kevin Kampl,24,€9.00m,15/16,Slovenia,€11.00m,Central Midfield,Dortmund,Bundesliga,Leverkusen,Bundesliga,False,11.0
1352,103,Shinji Okazaki,29,€8.00m,15/16,Japan,€11.00m,Centre-Forward,Mainz,Bundesliga,Leicester,Premier League,False,11.0
1353,104,Jonathan Calleri,22,€7.50m,15/16,"Argentina, Italy",€11.00m,Centre-Forward,Boca Juniors,Primera División,CD Maldonado,Segunda División,False,11.0
1354,105,Steven Naismith,29,€5.00m,15/16,Scotland,€11.00m,Second Striker,Everton,Premier League,Norwich,Premier League,False,11.0
1355,106,Jemerson,23,€5.00m,15/16,"Brazil, Monaco",€11.00m,Centre-Back,Atlético-MG,Série A,Monaco,Ligue 1,False,11.0
1356,107,Geuvânio,23,€4.50m,15/16,Brazil,€11.00m,Right Winger,Santos,Série A,TJ Quanjian,League One,False,11.0
1357,108,Thiago Neves,30,€4.00m,15/16,Brazil,€11.00m,Attacking Midfield,Al-Hilal,Saudi Pro League,Al-Jazira,UAE Pro League,False,11.0
1358,109,Jordan Amavi,21,€4.00m,15/16,"France, Senegal",€11.00m,Left-Back,Nice,Ligue 1,Aston Villa,Premier League,False,11.0
1359,110,Timm Klose,27,€3.00m,15/16,"Switzerland, Germany",€11.00m,Centre-Back,Wolfsburg,Bundesliga,Norwich,Premier League,False,11.0
1360,111,Yangyang Jin,23,€175k,15/16,China,€10.83m,Centre-Back,GZ R&F,Super League,HB CFFC,Super League,False,10.83
1361,112,Fabio Borini,24,€7.00m,15/16,Italy,€10.70m,Centre-Forward,Liverpool,Premier League,Sunderland,Premier League,False,10.7
1362,113,Abdoulaye Doucouré,23,€6.00m,15/16,"Mali, France",€10.60m,Attacking Midfield,Stade Rennais,Ligue 1,Watford,Premier League,False,10.6
1363,114,Adalberto Peñaranda,18,€500k,15/16,"Venezuela, Spain",€10.60m,Left Winger,Udinese,Serie A,Watford,Premier League,False,10.6
1364,115,Johannes Geis,21,€11.00m,15/16,Germany,€10.50m,Defensive Midfield,Mainz,Bundesliga,FC Schalke 04,Bundesliga,False,10.5
1365,116,Ricardo Álvarez,27,€10.00m,15/16,"Argentina, Italy",€10.50m,Central Midfield,Inter,Serie A,Sunderland,Premier League,False,10.5
1366,117,Jesús Corona,22,€6.50m,15/16,"Mexico, Portugal",€10.50m,Right Winger,Twente FC,Eredivisie,Porto,Liga NOS,False,10.5
1367,118,Dusan Basta,30,€5.50m,15/16,Serbia,€10.50m,Right-Back,Udinese,Serie A,Lazio,Serie A,False,10.5
1368,119,Domenico Berardi,20,€17.50m,15/16,Italy,€10.00m,Right Winger,Juventus,Serie A,Sassuolo,Serie A,False,10.0
1369,120,Raúl García,29,€12.00m,15/16,Spain,€10.00m,Attacking Midfield,Atlético,LaLiga,Athletic Club,LaLiga,False,10.0
1370,121,Serge Aurier,22,€10.00m,15/16,Cote d'Ivoire,€10.00m,Right-Back,Toulouse,Ligue 1,PSG,Ligue 1,False,10.0
1371,122,Josip Drmic,22,€8.00m,15/16,"Switzerland, Croatia",€10.00m,Centre-Forward,Leverkusen,Bundesliga,Mönchengladbach,Bundesliga,False,10.0
1372,123,Jordan Veretout,22,€8.00m,15/16,France,€10.00m,Central Midfield,FC Nantes,Ligue 1,Aston Villa,Premier League,False,10.0
1373,124,Max Gradel,27,€6.50m,15/16,"Cote d'Ivoire, France",€10.00m,Left Winger,Saint-Étienne,Ligue 1,Bournemouth,Premier League,False,10.0
1374,125,Connor Wickham,22,€5.00m,15/16,"England, Northern Ireland",€10.00m,Centre-Forward,Sunderland,Premier League,Crystal Palace,Premier League,False,10.0
1375,126,Adama Traoré,19,€5.00m,15/16,"Spain, Mali",€10.00m,Right Winger,Barcelona B,2ª B - Grupo III,Aston Villa,Premier League,False,10.0
1376,127,Santi Mina,19,€4.00m,15/16,Spain,€10.00m,Centre-Forward,Celta de Vigo,LaLiga,Valencia,LaLiga,False,10.0
1377,128,Jinhao Bi,25,€250k,15/16,China,€9.98m,Centre-Forward,HN Jianye,Super League,SH Shenhua,Super League,False,9.98
1378,129,Robbie Brady,23,€2.00m,15/16,Ireland,€9.90m,Left Midfield,Hull City,Championship,Norwich,Premier League,False,9.9
1379,130,Lu Zhang,28,€100k,15/16,China,€9.80m,Goalkeeper,Liaoning FC,Super League,TJ Quanjian,League One,False,9.8
1380,131,Matija Nastasić,22,€14.00m,15/16,Serbia,€9.50m,Centre-Back,Man City,Premier League,FC Schalke 04,Bundesliga,False,9.5
1381,132,Kevin Trapp,25,€8.00m,15/16,Germany,€9.50m,Goalkeeper,Frankfurt,Bundesliga,PSG,Ligue 1,False,9.5
1382,133,Aderllan Santos,26,€7.50m,15/16,"Brazil, Portugal",€9.50m,Centre-Back,Braga,Liga NOS,Valencia,LaLiga,False,9.5
1383,134,Jonathan Tah,19,€6.00m,15/16,"Germany, Cote d'Ivoire",€9.50m,Centre-Back,Hamburg,Bundesliga,Leverkusen,Bundesliga,False,9.5
1384,135,Michail Antonio,25,€2.50m,15/16,"Jamaica, England",€9.50m,Centre-Forward,Nott'm Forest,Championship,West Ham,Premier League,False,9.5
1385,136,Mapou Yanga-Mbiwa,26,€6.50m,15/16,"France, Central African Republic",€9.40m,Centre-Back,Roma,Serie A,Lyon,Ligue 1,False,9.4
1386,137,Derlis González,21,€3.75m,15/16,Paraguay,€9.40m,Second Striker,Basel,Super League,Dynamo Kyiv,Premier Liga,False,9.4
1387,138,Lewis Grabban,28,€3.00m,15/16,"Jamaica, England",€9.35m,Centre-Forward,Norwich,Premier League,Bournemouth,Premier League,False,9.35
1388,139,Ke Sun,26,€825k,15/16,China,€9.20m,Right Winger,JS Suning,Super League,TJ Quanjian,League One,False,9.2
1389,140,Bastian Schweinsteiger,30,€22.00m,15/16,Germany,€9.00m,Central Midfield,Bayern Munich,Bundesliga,Man Utd,Premier League,False,9.0
1390,141,Idrissa Gueye,25,€7.50m,15/16,Senegal,€9.00m,Defensive Midfield,Lille,Ligue 1,Aston Villa,Premier League,False,9.0
1391,142,Asamoah Gyan,29,€4.50m,15/16,Ghana,€9.00m,Centre-Forward,Al-Ain,UAE Pro League,SH SIPG,Super League,False,9.0
1392,143,N'Golo Kanté,24,€4.50m,15/16,"France, Mali",€9.00m,Defensive Midfield,SM Caen,Ligue 1,Leicester,Premier League,False,9.0
1393,144,Guido Carrillo,24,€3.20m,15/16,"Argentina, Italy",€9.00m,Centre-Forward,Estudiantes LP,Primera División,Monaco,Ligue 1,False,9.0
1394,145,Gabriel Boschilia,19,€3.00m,15/16,"Brazil, Italy",€9.00m,Attacking Midfield,São Paulo,Série A,Monaco,Ligue 1,False,9.0
1395,146,Rolando Mandragora,18,€2.00m,15/16,Italy,€9.00m,Defensive Midfield,Genoa,Serie A,Juventus,Serie A,False,9.0
1396,147,Étienne Capoue,27,€7.50m,15/16,"France, Guadeloupe",€8.90m,Defensive Midfield,Tottenham,Premier League,Watford,Premier League,False,8.9
1397,148,Jürgen Damm,22,€1.20m,15/16,"Mexico, Germany",€8.85m,Right Winger,Pachuca,Liga MX Apertura,Tigres UANL,Liga MX Apertura,False,8.85
1398,149,Alberto Paloschi,26,€6.00m,15/16,Italy,€8.80m,Centre-Forward,Chievo Verona,Serie A,Swansea,Premier League,False,8.8
1399,150,Khamis Esmaeel,26,€100k,15/16,United Arab Emirates,€8.70m,Central Midfield,Al-Jazira,UAE Pro League,Al-Ahli (UAE),UAE Pro League,False,8.7
1400,151,José Manuel Jurado,29,€7.00m,15/16,Spain,€8.60m,Attacking Midfield,Spartak Moscow,Premier Liga,Watford,Premier League,False,8.6
1401,152,Benjamin Stambouli,24,€5.00m,15/16,"France, Algeria",€8.60m,Defensive Midfield,Tottenham,Premier League,PSG,Ligue 1,False,8.6
1402,153,Andrea Bertolacci,24,€15.00m,15/16,Italy,€8.50m,Central Midfield,Genoa,Serie A,Roma,Serie A,False,8.5
1403,154,Mattia Destro,24,€13.00m,15/16,Italy,€8.50m,Centre-Forward,Roma,Serie A,Bologna,Serie A,False,8.5
1404,155,Gil,28,€7.50m,15/16,Brazil,€8.50m,Centre-Back,Corinthians,Série A,SD Luneng,Super League,False,8.5
1405,156,Joshua Kimmich,20,€5.00m,15/16,Germany,€8.50m,Defensive Midfield,Stuttgart,Bundesliga,Bayern Munich,Bundesliga,False,8.5
1406,157,Rudy Gestede,26,€3.50m,15/16,"Benin, France",€8.50m,Centre-Forward,Blackburn,Championship,Aston Villa,Premier League,False,8.5
1407,158,Nordin Amrabat,28,€6.00m,15/16,"Morocco, Netherlands",€8.40m,Right Winger,Málaga CF,LaLiga,Watford,Premier League,False,8.4
1408,159,Matej Vydra,23,€5.50m,15/16,Czech Republic,€8.40m,Centre-Forward,Udinese,Serie A,Watford,Premier League,False,8.4
1409,160,Andrea Belotti,21,€5.00m,15/16,Italy,€8.40m,Centre-Forward,US Palermo,Serie A,Torino,Serie A,False,8.4
1410,161,Danny Ings,22,€12.00m,15/16,England,€8.30m,Centre-Forward,Burnley,Championship,Liverpool,Premier League,False,8.3
1411,162,Jonny Evans,27,€6.00m,15/16,Northern Ireland,€8.30m,Centre-Back,Man Utd,Premier League,West Brom,Premier League,False,8.3
1412,163,Bradley Johnson,28,€4.00m,15/16,England,€8.10m,Central Midfield,Norwich,Premier League,Derby,Championship,False,8.1
1413,164,Thorgan Hazard,22,€10.00m,15/16,Belgium,€8.00m,Attacking Midfield,Chelsea,Premier League,Mönchengladbach,Bundesliga,False,8.0
1414,165,Renato Augusto,27,€9.00m,15/16,Brazil,€8.00m,Central Midfield,Corinthians,Série A,BJ Guoan,Super League,False,8.0
1415,166,Fernando,23,€9.00m,15/16,Brazil,€8.00m,Defensive Midfield,Shakhtar D.,Premier Liga,Sampdoria,Serie A,False,8.0
1416,167,Jeison Murillo,23,€8.00m,15/16,"Colombia, Spain",€8.00m,Centre-Back,Granada CF,LaLiga,Inter,Serie A,False,8.0
1417,168,Souza,26,€7.50m,15/16,Brazil,€8.00m,Defensive Midfield,São Paulo,Série A,Fenerbahçe,Süper Lig,False,8.0
1418,169,Samu García,24,€7.50m,15/16,Spain,€8.00m,Right Winger,Málaga CF,LaLiga,Villarreal,LaLiga,False,8.0
1419,170,Samu Castillejo,20,€7.50m,15/16,Spain,€8.00m,Right Winger,Málaga CF,LaLiga,Villarreal,LaLiga,False,8.0
1420,171,Steven Nzonzi,26,€7.50m,15/16,"France, DR Congo",€8.00m,Defensive Midfield,Stoke City,Premier League,Sevilla FC,LaLiga,False,8.0
1421,172,Burak Yılmaz,30,€7.00m,15/16,Türkiye,€8.00m,Centre-Forward,Galatasaray,Süper Lig,BJ Guoan,Super League,False,8.0
1422,173,Admir Mehmedi,24,€6.00m,15/16,"Switzerland, North Macedonia",€8.00m,Second Striker,Freiburg,2. Bundesliga,Leverkusen,Bundesliga,False,8.0
1423,174,Kenedy,19,€6.00m,15/16,Brazil,€8.00m,Left Winger,Fluminense,Série A,Chelsea,Premier League,False,8.0
1424,175,Joselu,25,€6.00m,15/16,"Spain, Germany",€8.00m,Centre-Forward,Hannover 96,Bundesliga,Stoke City,Premier League,False,8.0
1425,176,Davie Selke,20,€5.00m,15/16,Germany,€8.00m,Centre-Forward,Werder Bremen,Bundesliga,Leipzig,2. Bundesliga,False,8.0
1426,177,Jonas Hofmann,23,€4.00m,15/16,Germany,€8.00m,Attacking Midfield,Dortmund,Bundesliga,Mönchengladbach,Bundesliga,False,8.0
1427,178,Alberto Grassi,20,€2.00m,15/16,Italy,€8.00m,Defensive Midfield,Atalanta,Serie A,Napoli,Serie A,False,8.0
1428,179,Stewart Downing,31,€6.00m,15/16,England,€7.90m,Left Midfield,West Ham,Premier League,Middlesbrough,Championship,False,7.9
1429,180,Frenkie de Jong,18,€250k,15/16,Netherlands,€7.74m,Central Midfield,Willem II,Eredivisie,Ajax U21,Jupiler League,False,7.74
1430,181,Luca Valzania,19,€350k,15/16,Italy,€7.70m,Central Midfield,Cesena,Serie B,Atalanta,Serie A,False,7.7
1431,182,Simon Kjaer,26,€8.00m,15/16,Denmark,€7.65m,Centre-Back,Lille,Ligue 1,Fenerbahçe,Süper Lig,False,7.65
1432,183,Casemiro,23,€10.00m,15/16,"Brazil, Spain",€7.50m,Defensive Midfield,Real Madrid,LaLiga,Porto,Liga NOS,False,7.5
1433,184,Lucas Ocampos,20,€6.50m,15/16,"Argentina, Spain",€7.50m,Left Winger,Monaco,Ligue 1,Marseille,Ligue 1,False,7.5
1434,185,Cédric Bakambu,24,€5.50m,15/16,"DR Congo, France",€7.50m,Centre-Forward,Bursaspor,Süper Lig,Villarreal,LaLiga,False,7.5
1435,186,Obbi Oulare,19,€5.00m,15/16,"Belgium, Guinea",€7.50m,Centre-Forward,Club Brugge,JPL,Watford,Premier League,False,7.5
1436,187,Robert Beric,24,€3.00m,15/16,Slovenia,€7.50m,Centre-Forward,Rapid Vienna,Bundesliga,Saint-Étienne,Ligue 1,False,7.5
1437,188,Jozo Simunovic,21,€2.00m,15/16,"Croatia, Bosnia-Herzegovina",€7.50m,Centre-Back,Dinamo Zagreb,SuperSport HNL,Celtic,Premiership,False,7.5
1438,189,Carlos Peña,25,€3.00m,15/16,Mexico,€7.30m,Attacking Midfield,León,Liga MX Apertura,Chivas,Liga MX Apertura,False,7.3
1439,190,Jucilei,27,€7.00m,15/16,"Brazil, Palestine",€7.20m,Defensive Midfield,Al-Jazira,UAE Pro League,SD Luneng,Super League,False,7.2
1440,191,Jonathas,26,€6.00m,15/16,Brazil,€7.20m,Centre-Forward,Elche CF,2ª División,Real Sociedad,LaLiga,False,7.2
1441,192,Lucas Zelarayán,23,€4.00m,15/16,"Armenia, Argentina",€7.20m,Attacking Midfield,Belgrano,Primera División,Tigres UANL,Liga MX Apertura,False,7.2
1442,193,Patrick Roberts,18,€2.50m,15/16,England,€7.20m,Right Winger,Fulham,Championship,Man City,Premier League,False,7.2
1443,194,Haifeng Ding,24,€225k,15/16,China,€7.10m,Left-Back,Liaoning FC,Super League,HB CFFC,Super League,False,7.1
1444,195,Chao Gu,26,€125k,15/16,China,€7.05m,Goalkeeper,HZ Greentown,Super League,JS Suning,Super League,False,7.05
1445,196,Radamel Falcao,29,€35.00m,15/16,"Colombia, Venezuela","Loan fee:
€7.00m",Centre-Forward,Monaco,Ligue 1,Chelsea,Premier League,True,7.0
1446,197,Cédric Soares,23,€9.50m,15/16,"Portugal, Germany",€7.00m,Right-Back,Sporting,Liga NOS,Southampton,Premier League,False,7.0
1447,198,Iago Falque,26,€8.00m,15/16,Spain,€7.00m,Right Winger,Genoa,Serie A,Roma,Serie A,False,7.0
1448,199,Lima,32,€8.00m,15/16,"Brazil, Portugal",€7.00m,Centre-Forward,Benfica,Liga NOS,Al-Ahli (UAE),UAE Pro League,False,7.0
1449,200,Gökhan Inler,31,€7.50m,15/16,"Switzerland, Türkiye",€7.00m,Defensive Midfield,Napoli,Serie A,Leicester,Premier League,False,7.0
1450,201,Ozan Tufan,20,€7.50m,15/16,Türkiye,€7.00m,Central Midfield,Bursaspor,Süper Lig,Fenerbahçe,Süper Lig,False,7.0
1451,202,Jefferson Farfán,30,€7.00m,15/16,Peru,€7.00m,Right Winger,FC Schalke 04,Bundesliga,Al-Jazira,UAE Pro League,False,7.0
1452,203,Gastón Pereiro,20,€7.00m,15/16,Uruguay,€7.00m,Attacking Midfield,Nacional,Liga AUF Clausura,PSV,Eredivisie,False,7.0
1453,204,Juanmi,22,€7.00m,15/16,Spain,€7.00m,Left Winger,Málaga CF,LaLiga,Southampton,Premier League,False,7.0
1454,205,Mathew Ryan,23,€7.00m,15/16,"Australia, Scotland",€7.00m,Goalkeeper,Club Brugge,JPL,Valencia,LaLiga,False,7.0
1455,206,Vlad Chiricheș,25,€6.00m,15/16,Romania,€7.00m,Defensive Midfield,Tottenham,Premier League,Napoli,Serie A,False,7.0
1456,207,Grégoire Defrel,24,€6.00m,15/16,"France, Martinique",€7.00m,Centre-Forward,Cesena,Serie B,Sassuolo,Serie A,False,7.0
1457,208,Ersan Gülüm,28,€5.00m,15/16,"Türkiye, Australia",€7.00m,Centre-Back,Besiktas,Süper Lig,HB CFFC,Super League,False,7.0
1458,209,Kingsley Coman,19,€3.50m,15/16,"France, Guadeloupe","Loan fee:
€7.00m",Left Winger,Juventus,Serie A,Bayern Munich,Bundesliga,True,7.0
1459,210,Marko Grujić,19,€3.00m,15/16,Serbia,€7.00m,Defensive Midfield,Red Star,Super liga,Liverpool,Premier League,False,7.0
1460,211,Oriol Romeu,23,€2.50m,15/16,Spain,€7.00m,Defensive Midfield,Chelsea,Premier League,Southampton,Premier League,False,7.0
1461,212,Yohan Benalouane,28,€1.30m,15/16,"Tunisia, France",€7.00m,Centre-Back,Atalanta,Serie A,Leicester,Premier League,False,7.0
1462,213,Naif Ahmed Taib Hazazi,26,€1.00m,15/16,Saudi Arabia,€6.80m,Centre-Forward,Al-Shabab,Saudi Pro League,Al-Nassr,Saudi Pro League,False,6.8
1463,214,Jiawei Yang,24,€150k,15/16,China,€6.75m,Right Winger,SH Shenxin,League One,JS Suning,Super League,False,6.75
1464,215,Tom Ince,23,€6.50m,15/16,"England, Barbados",€6.70m,Right Winger,Hull City,Championship,Derby,Championship,False,6.7
1465,216,Éder,27,€6.00m,15/16,"Portugal, Guinea-Bissau",€6.70m,Centre-Forward,Braga,Liga NOS,Swansea,Premier League,False,6.7
1466,217,Dianzuo Liu,25,€200k,15/16,China,€6.70m,Goalkeeper,GZ R&F,Super League,GZ Evergrande,Super League,False,6.7
1467,218,Daniel Amartey,21,€3.00m,15/16,Ghana,€6.60m,Centre-Back,Copenhagen,Superliga,Leicester,Premier League,False,6.6
1468,219,Luka Jović,18,€1.75m,15/16,"Serbia, Bosnia-Herzegovina",€6.60m,Centre-Forward,Apol. Limassol,Protathlima Cyta,Benfica,Liga NOS,False,6.6
1469,220,Carlos Tevez,31,€23.00m,15/16,Argentina,€6.50m,Centre-Forward,Juventus,Serie A,Boca Juniors,Primera División,False,6.5
1470,221,Robin van Persie,31,€15.00m,15/16,Netherlands,€6.50m,Centre-Forward,Man Utd,Premier League,Fenerbahçe,Süper Lig,False,6.5
1471,222,Kyriakos Papadopoulos,23,€7.50m,15/16,Greece,€6.50m,Centre-Back,FC Schalke 04,Bundesliga,Leverkusen,Bundesliga,False,6.5
1472,223,Lewis Holtby,24,€4.00m,15/16,"Germany, England",€6.50m,Central Midfield,Tottenham,Premier League,Hamburg,Bundesliga,False,6.5
1473,224,Zé Luís,24,€3.50m,15/16,"Cape Verde, Portugal",€6.50m,Centre-Forward,Braga,Liga NOS,Spartak Moscow,Premier Liga,False,6.5
1474,225,Steven Berghuis,23,€3.50m,15/16,Netherlands,€6.50m,Right Winger,AZ Alkmaar,Eredivisie,Watford,Premier League,False,6.5
